content,device,like,rcount,ctime,avatar,level,sex,sign,uname,mid,oid,diag
所以梅西整个团队是找不出一部比伊布奶奶的手机摄影画质更好一点的设备了吗？,,246,11,,https://i2.hdslb.com/bfs/face/4ce19008b766929540855e573bc62bf0d01def39.jpg,6,男,,阿森纳戒赌禁赛版,1707116,1650947547,原评论
🐳说的有道理,,335,95,,http://i2.hdslb.com/bfs/face/1d1b1e48c4158050ccc91ef002e386b36f73d088.jpg,6,男,渐行渐远渐无书，自此山水不相逢。,方寸未乱,30570068,1650947547,原评论
精辟,,41,11,,https://i0.hdslb.com/bfs/face/member/noface.jpg,4,保密,,静修流年,1295336132,1650947547,原评论
"我教大家怎样成为一个理性的球迷
1、打开UP主的推广的产品
2、跳转到tb
3、下单买一件梅西的周边
从今天开始，你就是一个理性的球迷了",,18,0,,https://i0.hdslb.com/bfs/face/member/noface.jpg,6,保密,,yibolo,24723063,1650947547,原评论
司尘老师太幽默了，如果你梅西训练加剧了伤势你非要赛前15分钟才说是吧，主办方不是说自己反复确认，直到比赛当天早上迈阿密方面都说可以出场，难道是主办方又说谎了？,,65,35,,https://i0.hdslb.com/bfs/face/member/noface.jpg,5,保密,,44994477,272069023,1650947547,原评论
谣言止于带货[打call],,251,4,,https://i1.hdslb.com/bfs/face/f371fdc9beb5bd923fd2c44295cb2e53017e94d8.jpg,6,保密,温不增华，寒不改叶。,不见秋风入长安,33205423,1650947547,原评论
B友通过给一个阿根廷人颁发日本国籍想攻击他的中国粉丝，我称其为2024开年抽象。,,38,3,,https://i2.hdslb.com/bfs/face/63d770e4a8e38247dc188aa046f8d1d5638c3fb0.jpg,4,保密,赤道几内亚人。,北方海峡,315277088,1650947547,原评论
百善孝为先,,15,0,,https://i1.hdslb.com/bfs/face/6febf3f3cfa01e2dc3240d7cb11ce5d8bfb82179.jpg,5,保密,yyds,华尔街通缉犯,505214128,1650947547,原评论
你太秀了，结晶啊，春秋笔法，避重就轻，夹带私货，你真当大家看问题只看表面吗？那么多争议的点你都刻意回避了，梅西香港行全程态度冷漠（因为疼），刻意回避，拒绝和特首握手（因为疼所以眼睛没看见特首），到了日本态度一百八十度转变（因为伤好了不疼了，好开心），还有你这破澄清视频，关于是不是al合成的或者拼接的争议这么大，疑点这么多（画质糊，牙齿不漏，眨眼次数，纹身若隐若现），难道是因为你的主子节俭，拿的诺基亚发的澄清视频，还是吆西本人连澄清（不是道歉）都懒得澄清，而公关团队发现影响这么大，只好被迫合成一个假的视频，既挽回了局面，又保护好了吆西本人的“倔强”，你们结晶都这么会舔吗？事情刚发生的时候，网上发声的人就已经退一步讲了，说：“就算因为伤病上不了场但最起码有个态度吧”，其实更关键的问题是态度问题，为啥会退一步讲，一方面是因为他们曾经也喜欢吆西，而另一方面是防你们这群结晶抓着是不是有伤病这条不确定的因素在这狡辩，先叠个甲，不出所料，你们确实会这样狡辩，顺便反咬一口[翻白眼][翻白眼][翻白眼],,16,1,,https://i1.hdslb.com/bfs/face/d92e1995f6ddc789b8a1c44ca4ac44839c54b9cd.jpg,5,男,国民倘若没有智，没有勇，而单靠一种所谓的“气”，实在是非常危险的。——鲁讯,弯弯快乐健,306046498,1650947547,原评论
"孩子们，这不好笑
牢梅伟大，无需多言的",,56,10,,https://i0.hdslb.com/bfs/face/6985f5959741f7fb1f96d2a4c39b6f25e8e6f3ac.jpg,6,男,新时代十月人,索忒尔,32829666,1650947547,原评论
梅西怎么样对我不重要，阿萨梅停止上蹿下跳还足球圈一个清净对我很重要。,,38,7,,https://i1.hdslb.com/bfs/face/a12fc2da941dc921dc6dd6bddc58dc3b9937e678.jpg,5,保密,山一层水一层,湖畔的那一希,330087721,1650947547,原评论
有钱一起赚啊,,23,3,,https://i0.hdslb.com/bfs/face/5d0bcf015b027a94228dcb7de44ab1f8b5e4cafc.jpg,5,保密,,康弗等次,383685162,1650947547,原评论
看见一点，就说梅西怎么怎么没错，梅西错的地方你们是一点看不见。,,17,8,,https://i0.hdslb.com/bfs/face/935453f6af730b37356ebbf4dcd7c7c2577113b3.jpg,4,男,3-3-3-1,hwg晨曦,505613850,1650947547,原评论
理想哥，希望你理性继续卖阿根廷周边，怎么现在下架了？,,12,0,,https://i0.hdslb.com/bfs/face/member/noface.jpg,6,保密,,yibolo,24723063,1650947547,原评论
up 站起来吧 平身平身 你跪太久了,,12,0,,https://i1.hdslb.com/bfs/face/ae7c7529ebbb46dca3381e0698236dd255dafdfb.jpg,4,保密,,克里斯mansir,1546922524,1650947547,原评论
"致敬传奇前锋：恩内斯里 埃德 卡瓦尼 查理斯特亚斯 塔雷米 莱万 本泽马 贝尔 阿扎尔 里贝里 伊瓜因 萨拉赫 范尼 鲁尼
致敬传奇中场：哈维 伊涅斯塔 图萨尔 莫德里奇 范德贝克 齐耶赫 托马斯穆勒 琼斯 德保罗 卡塞米罗 德布劳内 米林科维奇
致敬传奇后卫：普约尔 阿尔维斯 拉莫斯 阿什利科尔 马约尔加 阿拉巴 戈丁 金英权
致敬传奇门将：布努 巴尔德斯 穆斯莱拉 切赫 马丁内斯 杜布拉夫卡 魏登费勒
致敬传奇裁判：比约恩 克拉滕伯格 考邵伊 卢卡洛基
致敬传奇教练：滕哈格 桑托斯 朗尼克 皮尔洛 阿莱格里 齐达内 瓜迪奥拉 克洛普 穆里尼奥
致敬传奇主席：弗洛伦蒂诺 切费林 布拉特 传奇经纪人： 门德斯 郭广昌
传奇捕骡人&amp;捕骡人统领：一代球王里奥梅西",,16,1,,https://i0.hdslb.com/bfs/face/3024227583dde7c7a094cb1d5c614a41b9e93de6.jpg,5,男,停更,爱吃煲仔饭的阿伟罗,3461565628025109,1650947547,原评论
"说实话，第一个视频我还是觉得很客观很理性也很能接受观点的。但这个，说实话，洗地洗得太明显了，妥妥地生拉硬拽找理由。
扯上种族歧视转移焦点，强扣字眼证明发言前后不存在问题，偷换概念把“训练”当作出场，把未能出场归结于合同问题，反推诈伤不如一诈到底，最后再来个智商高地的“自己的思考”甩锅。你没觉得你的表演已经溢出屏幕了么？
你既然这么理性客观，我不信你看不出整件事的矛盾焦点在哪儿。对去现场观赛的球迷来说，矛盾焦点也许确实是没有上场比赛。但到了今天，这件事的矛盾焦点根本就不是有没有登场比赛，而是对待香港行、对待香港/中国球迷的态度问题。整个视频不谈焦点，只是一味生拉硬拽、编造理由，客观公正的屁股你还坐得住？？？",,32,5,,https://i2.hdslb.com/bfs/face/b70613a5da107a4ae9275e33e184204424b87df8.jpg,5,保密,啦啦啦，我们是欢乐的糖豆儿与糖果儿兄妹~~~,糖豆豆与糖果果,522130139,1650947547,原评论
整个儿立体防御机制呗，有没有澄清都有自己的说法？我反正没脸替去了又没见到的人原谅，看人家自己就行了,,17,5,,https://i1.hdslb.com/bfs/face/576b5967da30cddd8ffba7f7f2a4eeac7da08a58.jpg,6,男, Always and forever.,墨铭琦缈,75662305,1650947547,原评论
梅粉没搞清楚，就是罗粉今天从地球上消失，也改变不了什么，因为这几年梅粉得罪的球队和其他球员的粉丝太多了,,13,7,,https://i0.hdslb.com/bfs/face/44a7ba7d1a28e365d8faa06a2ed751070c95a0b9.jpg,5,保密,,超哥哥好大,158184378,1650947547,原评论
省流:up商品卖不出去了，梅粉快来买,,9,1,,https://i1.hdslb.com/bfs/face/4beff798348fb12bd31bde97038f89fc37e7dc68.jpg,6,男,H,一位伪学长,17082541,1650947547,原评论
我不清楚下纹身为啥没了,,13,3,,https://i0.hdslb.com/bfs/face/3612f1303b39858a49d7d83393b379aecea35fa0.jpg,5,保密,,椰鱼-,480659247,1650947547,原评论
"回复 @不止手游 :这是结尾梅西抬手的一个动作，这个up的视频里就没放这个画面
手一放下去，截图抓的到纹身久了，只能说生成的还不够完善",,2,0,,https://i0.hdslb.com/bfs/face/3612f1303b39858a49d7d83393b379aecea35fa0.jpg,5,保密,,椰鱼-,480659247,1650947547,原评论
回复 @不止手游 :完整得梅西澄清视频你去看一下，他这是放了一段而已,,1,0,,https://i0.hdslb.com/bfs/face/3612f1303b39858a49d7d83393b379aecea35fa0.jpg,5,保密,,椰鱼-,480659247,1650947547,原评论
为什么UP主视频里就有？,,0,0,,https://i2.hdslb.com/bfs/face/964b16724c30a50e06774effcd6e4c9f060385a3.jpg,5,保密,手机上能玩的游戏，不止手游,不止手游,1857318746,1650947547,原评论
"你的视频逻辑越来越可笑了，甚至有些观点跟上一次自己洗的视频都对不上。
1.你在上一个视频里亲口说内收肌受伤需要一周甚至更长的恢复时间都是可能的，现在又说三天是完全合理的。况且如果梅西真的在香港比赛之前的训练之后加重了伤情，那为什么他去日本的时候训练赛又传又射？
2.转移话题。梅西不知道中日历史，这是正常的。但是他应该知道，在中国不上场在日本上场会造成什么样的舆论影响，跟他认为中国人和日本人都是黄种人没有任何关系。",,22,2,,http://i0.hdslb.com/bfs/face/414a2fd646558537a88aa6d3377a5b9af49045eb.jpg,5,保密,这个人很勤奋，什么都留下了,阿拉斯加黄帽企鹅,327532395,1650947547,原评论
