词语,词频
小白兔,59
表演赛,59
当初,59
佩服,59
赞,59
举报,59
我家,58
字,58
足坛,58
冷,58
无脑,58
垃圾,58
要说,57
国家队,57
感动,57
国籍,57
瞧不起,57
弹幕,57
纯,57
删,57
不谈,57
想象,57
微博,56
赛,56
英国,56
拿过,56
热情,56
够,56
疯狂,56
骗,56
封杀,56
在意,56
拍,56
做法,56
退役,56
21,56
买票,55
那天,55
对不起,55
神,55
过梅西,55
鬼子,55
很难,55
姆巴,55
西方,55
更好,55
安排,55
看法,55
恶心,55
几年,54
总,54
好多,54
老,54
🐶,54
发酵,54
崇拜,54
荣誉,54
抵制,54
饭圈,54
感受,54
看过,54
胡子,54
一集,53
丢,53
影响力,53
赛前,53
腹股沟,53
掉,53
梅西有,53
去年,53
难过,53
脏,53
足球圈,53
看待,53
大佐,52
绷,52
消防栓,52
地位,52
纯纯,52
委屈,52
不上,52
政治立场,52
😂,52
方式,52
离谱,52
其他人,52
捐,52
回回,52
没西,51
认同,51
30,51
三天,51
从来不,51
足,51
疑惑,51
依然,51
开头,51
没戏,51
关心,51
带头,51
作文,51
领奖,51
幽默,50
抠,50
鼻,50
烂,50
没想到,50
换,50
脸色,50
下场,50
忠诚,50
咯,50
活该,50
得罪,50
带来,50
全是,50
抱拳,50
越,50
指责,50
质疑,50
可笑,50
拿来,50
中文,49
底线,49
图,49
🇨,49
🇳,49
️,49
😡,49
夺得,49
发展,49
没人,49
祖国,49
硬,49
嘲笑,49
恢复,49
输出,49
不看,48
生龙活虎,48
樱花,48
佩,48
捕鼠,48
好样,48
本质,48
14,48
嘲讽,48
忘记,48
哈哈哈哈,48
说法,48
只不过,48
嘴,48
多人,48
登场,48
语,48
过年,48
收藏,48
篮球,47
话题,47
结束,47
你家,47
加,47
变,47
正,47
利用,47
哥哥,47
二,47
同胞,47
很大,47
面对,47
声明,47
梅迷,47
博主,47
发泄,47
名单,47
训练,47
技术,46
不愧,46
穆勒,46
没关系,46
随便,46
一笔,46
感谢,46
退票,46
