type,id,author,mid,typeid,typename,arcurl,aid,bvid,title,description,arcrank,pic,play,video_review,favorites,tag,review,pubdate,senddate,duration,badgepay,hit_columns,view_type,is_pay,is_union_video,rec_tags,new_rec_tags,rank_score,like,upic,corner,cover,desc,url,rec_reason,danmaku,biz_data,is_charge_video,vt,enable_vt,vt_display,subtitle,episode_count_text,release_status,is_intervene
video,1950418748,龙呆呆看世界,357528440,21,日常,http://www.bilibili.com/video/av1950418748,1950418748,BV1TC411472u,"别骂<em class=""keyword"">梅西</em>了！你们真的错怪他了！",,0,//i1.hdslb.com/bfs/archive/e88abb44a8b122a8751e10075f23469ce093a876.jpg,49473,375,263,"足球,日本,香港,梅西,贝克汉姆,阿根廷,C罗,霍启刚,迈阿密国际,体育迷的快乐",340,1707316312,1707758184,1:58,False,"['title', 'tag']",,0,0,,[],100629587,1900,https://i2.hdslb.com/bfs/face/83f23b758ce9ce1469e29d78834c4a43120c3d14.jpg,,,,,,375,,0,0,0,,,,0,0
video,827453964,少川看世界,404131498,249,足球,http://www.bilibili.com/video/av827453964,827453964,BV1sg4y1K7wJ,"你能相信吗？球王<em class=""keyword"">梅西</em>在中国，监控最后拍摄到的画面泄露，身价25亿的世界第一人，吃了掉在地上的食物",球王梅西在中国，监控最后拍摄到的画面泄露，他吃了掉地上的食物,0,//i0.hdslb.com/bfs/archive/3b0ef9cb9b830a57a2705de21e1b3aab09eb5348.jpg,927293,839,1712,"梅西,世界杯,世界第一,阿根廷,巴萨",1190,1686981599,1687094028,2:53,False,"['title', 'description', 'tag']",,0,0,,[],100584432,17713,https://i1.hdslb.com/bfs/face/0a1789d205793430728bdc3d91799b60f2c34682.jpg,,,,,,839,,0,0,0,,,,0,0
video,1100457706,麦克阿瑟纪录片,1180757779,249,足球,http://www.bilibili.com/video/av1100457706,1100457706,BV19A4m157W3,"大型纪录片《双标<em class=""keyword"">梅西</em>》<em class=""keyword"">梅西</em>口碑崩坏，C罗逆风翻盘！",,0,//i0.hdslb.com/bfs/archive/5b430878f58d9ef34d0d1d3fada556c65ebc9724.jpg,1691436,3553,10821,"足球,梅西,克里斯蒂亚诺·罗纳尔多,双标,里奥·梅西",5959,1707316978,1707361039,3:29,False,"['title', 'tag']",,0,0,,[],100539168,144945,https://i1.hdslb.com/bfs/face/70120762205342682aea26a42d357e7360aa711c.jpg,,,,,,3553,,0,0,0,,,,0,0
video,1501287247,小白兔怕脏,45531556,249,足球,http://www.bilibili.com/video/av1501287247,1501287247,BV1ES421P7zS,"【走近足球】之AI<em class=""keyword"">梅西</em>揭开的惊天真相 # 这背后究竟是人性的扭曲，还是道德的沦丧？",骂别人不革命，便是革命者，则自己不做事，而骂别人的事做得不好，自然便是更做事者。 若与此辈理论，可以被牵连到白费唇舌，一事无成，也就是白活一世，于己于人，都无益处。 我现在得了妙法，是谣言不辩，诬蔑不洗，只管自己做事。 —— 真·鲁迅,0,//i1.hdslb.com/bfs/archive/b15e817efa2df122cb7cff965390a8931bd8e78b.jpg,41641,1615,2392,"足球,香港,梅西,真相,霍启刚,迈阿密国际",1337,1709359698,1709382711,24:6,False,"['title', 'tag']",,0,0,,[],100530955,6761,https://i1.hdslb.com/bfs/face/4657880b07722019be8285b9122f63f417d981e9.jpg,,,,,,1615,,0,0,0,,,,0,0
video,1000738780,村里一朵花_,1583481363,249,足球,http://www.bilibili.com/video/av1000738780,1000738780,BV1bx4y1y7Je,"<em class=""keyword"">梅西</em>缺席惊人反转！港媒曝光：霍启刚签“便宜合同”道德绑架<em class=""keyword"">梅西</em>上场，利用＂爱国＂逼迫<em class=""keyword"">梅西</em>恶人先告状",-,0,//i1.hdslb.com/bfs/archive/f9718b7fd52b0152d21ccb47dbdb54829a1d4ce6.jpg,43606,74,161,"足球,梅西,C罗,体育,道德绑架,霍启刚,足球高光时刻,必剪创作",1283,1707734692,1707812670,5:0,False,"['title', 'tag']",,0,0,,[],100485754,636,https://i0.hdslb.com/bfs/face/67c17c0b01a1b24dadce4bfaf3d757c42268af16.jpg,,,,,,74,,0,0,0,,,,0,0
video,1400480123,总卡bug,411298731,249,足球,http://www.bilibili.com/video/av1400480123,1400480123,BV1U6421u7op,"国外网友要求<em class=""keyword"">梅西</em>向中国粉丝道歉",国外网友要求梅西向中国粉丝道歉,0,//i2.hdslb.com/bfs/archive/24d4d02bfd45963e97640e787f32aa6f783c7849.jpg,221860,127,720,"梅西,龙年一起行大运",364,1707400936,1707400937,1:13,False,"['title', 'description', 'tag']",,0,0,,[],100477355,17406,https://i0.hdslb.com/bfs/face/bf6e8194bea2762c62190c413bbcf9f5c2de020a.jpg,,,,,,127,,0,0,0,,,,0,0
video,1600356182,司马尘,334932680,249,足球,http://www.bilibili.com/video/av1600356182,1600356182,BV1h2421A7cX,"理性看待<em class=""keyword"">梅西</em>香港行，别让舆论左右你的判断",,0,//i0.hdslb.com/bfs/archive/810a3075eee33ab4074894d9aafcc83402fa928a.jpg,780958,20666,8291,"足球,中国,香港,梅西,球迷,体育,理性,迈阿密国际",40105,1707568056,1707624541,5:59,False,"['title', 'tag']",,0,0,,[],100463690,37728,https://i2.hdslb.com/bfs/face/47706bf5f38c778b7ef58c2e6ff37607fd29c683.jpg,,,,,,20666,,0,0,0,,,,0,0
video,1550349431,曹操-曹丞相,361361870,183,影视剪辑,http://www.bilibili.com/video/av1550349431,1550349431,BV1Sy42187S9,"<em class=""keyword"">梅西</em>球迷现状",,0,//i1.hdslb.com/bfs/archive/cb5742e7a297c21f5f571143a1949cfc85eb01a9.jpg,98352,93,263,"梅西,三国",518,1707473750,1708949125,1:16,False,"['title', 'tag']",,0,0,,[],100452315,2731,https://i2.hdslb.com/bfs/face/71438d4e22d8ac90a9898f2f1b18faa4f2b8fc90.jpg,,,,,,93,,0,0,0,,,,0,0
video,1900442621,VDiaa,522704101,249,足球,http://www.bilibili.com/video/av1900442621,1900442621,BV1Pm411X7GK,"<em class=""keyword"">梅西</em>日本行后C罗ins评论区现状",-,0,//i1.hdslb.com/bfs/archive/961fda16826c5da5edcaed9acdb694093f53a692.jpg,367950,64,474,"足球,日本,梅西,阿根廷,C罗,INS,多家俱乐部疑内涵梅西,梅西香港行主办方退款一半,梅西再回应香港比赛缺阵,梅西希望再来中国",637,1707320873,1708356013,1:50,False,"['title', 'tag']",,0,0,,[],100445109,9839,https://i1.hdslb.com/bfs/face/1b1ef472f2a8034d21e89bc7bbbd172d29b25dec.jpg,,,,,,64,,0,0,0,,,,0,0
video,1550445106,耶酥克里斯,327419895,249,足球,http://www.bilibili.com/video/av1550445106,1550445106,BV1Ey421h7kW,"陈泽对<em class=""keyword"">梅西</em>出事后态度的前后变化：我不是<em class=""keyword"">梅西</em>球迷！",-,0,//i1.hdslb.com/bfs/archive/fac2f5ae0e9704365712160b8c5b51d8212ca7c9.jpg,95072,42,126,"足球,搞笑,梅西,贝克汉姆,C罗,体育,抽象,态度,陈泽,香港球迷",280,1707360686,1707360687,5:2,False,"['title', 'tag']",,0,0,,[],100437501,1216,https://i0.hdslb.com/bfs/face/ea21f4cd43ad05623fe8af0a7b184bcf7dedcaa1.jpg,,,,,,42,,0,0,0,,,,0,0
