rpid,oid,type,mid,root,parent,dialog,count,rcount,ctime,like,plat,device,content,emote,at_uname,at_mid,invisible,level,sex,sign,uname,avatar
209167926816,1300962056,1,1390113189,0,0,0,10,8,1708507957,713,,,球衣滞销，帮帮涛哥,,,,False,5,保密,,iamcima,https://i0.hdslb.com/bfs/face/db79b0014efe0358e36193db6ce2d22d7307d88a.jpg
209177335520,1300962056,1,416101637,209167926816,209167926816,209177335520,0,0,1708511323,13,,,涛🐶,,,,False,5,男,东边日出西边雨,红魔尹钟,https://i2.hdslb.com/bfs/face/8477fd044522c33c037ccd6073e3b10046410737.jpg
209193146384,1300962056,1,98374730,209167926816,209167926816,209193146384,0,0,1708516566,12,,,清明节快到了，烧了呗[doge],[doge],,,False,6,保密,,GundamSK,http://i2.hdslb.com/bfs/face/5da2748b9d4f482849e75770c02dedf3a0f954d8.jpg
209238330720,1300962056,1,671493681,209167926816,209167926816,209238330720,0,0,1708532083,8,,,王涛急死了 现在强行哟西铁粉人设 想甩库存那些假货给哟西粉 乘着哟西还没凉透前榨干哟西粉们最后一丝价值,,,,False,4,保密,,甩手一烈火,https://i0.hdslb.com/bfs/face/2b72c57f868254d36b8ebe56a056a55152888c3a.jpg
209121775824,1300962056,1,436228617,0,0,0,4,4,1708489040,358,,,ai做的，没看胡子有一半都没渲染上嘛,,,,False,5,保密,,94469908079_bili,http://i0.hdslb.com/bfs/face/member/noface.jpg
209161758800,1300962056,1,51181484,209121775824,209121775824,209161758800,0,0,1708505599,30,,,ai是按照大数据进行炼丹的，胡子问题应该是被呦西污染模型了。,,,,False,6,保密,明镜止水下,llnt12,https://i2.hdslb.com/bfs/face/943b609bfc8c3f9971fae6ca3aaaaab1ee8333c1.jpg
209294433536,1300962056,1,520109096,209121775824,209121775824,209294433536,0,0,1708576129,5,,,别去纠结Ai，这么糊的视频本来就动机不纯，有转移矛盾之嫌疑。重点在不尊重中国球迷上，而不是视频是否真伪？关键视频是没有任何实质性内容的！,,,,False,5,保密,,杰斯大大呐,https://i0.hdslb.com/bfs/face/member/noface.jpg
209250404496,1300962056,1,86501203,209121775824,209121775824,209250404496,0,0,1708538599,5,,,应该是十几秒的祝福视频，然后被运营团队＋料了，ai对口型,,,,False,5,保密,,爱玩原神的带带大师兄,https://i1.hdslb.com/bfs/face/511f6d43a66ecae775140c909f59f130c2f8fa97.jpg
209224867312,1300962056,1,251650397,0,0,0,3,3,1708527424,175,,,呦西，我滴不是谁滴球迷滴，我滴不看球滴，我滴纯乐子人滴，就爱看名人塌房滴干活，谁塌都行滴干活，我滴就爱跟着踩两脚滴思密达！,,,,False,6,保密,,关谷牢西,https://i2.hdslb.com/bfs/face/1727daf3cbf594cd795161a19c3e8bfda23ee8ab.jpg
209311743792,1300962056,1,486607136,209224867312,209224867312,209311743792,0,0,1708583115,1,,,大大滴呦西,,,,False,5,男,,小宝贝乖呀乖,https://i2.hdslb.com/bfs/face/9ea3565ead0a0d3d6c694984a2e44dc0043aa31f.jpg
