rpid,oid,type,mid,root,parent,dialog,count,rcount,ctime,like,plat,device,content,emote,at_uname,at_mid,invisible,level,sex,sign,uname,avatar
206506844224,1500400258,1,416046008,0,0,0,48,27,1707110875,1337,,,梅西对日本球迷说话那段有没有懂哥能翻译下,,,,False,6,男,,侯恒,http://i2.hdslb.com/bfs/face/4bfe6801b82f4bd265b6cbe86cddc6023e3ec49d.jpg
206508393680,1500400258,1,594830304,206506844224,206506844224,206508393680,0,0,1707111509,477,,,「皆さん、こんにちは。私たちは東京に来てこの試合に参加して、そしてあなたたち全員を訪問して、すぐに会って、あなたたちにハグをしてあげます！さようなら」,,,,False,4,保密,,查无此喵嗷,https://i0.hdslb.com/bfs/face/5db62b37da001076afdf15c69ff92df16845e300.jpg
206507725568,1500400258,1,36835639,206506844224,206506844224,206507725568,0,0,1707111233,321,,,“大家好！我想告诉你们，我们很高兴来到东京参加这场比赛，并且拜访你们所有人，很快就会见面，给你们一个拥抱！再见。”[tv_呕吐],[tv_呕吐],,,False,6,保密,这个人很懒，什么也没留下,波奇酱让喜多郁代,https://i1.hdslb.com/bfs/face/68ca469d761eda30a80d497793edf6d2cbb2b7cd.jpg
206520597024,1500400258,1,179670077,206506844224,206506844224,206520597024,0,0,1707116672,114,,,大家好，我们前往日本参加这次比赛，并且拜访你们，马上就会见面，给你们拥抱，再见,,,,False,6,男,脱离了部分低级趣味,Highbury-King,https://i2.hdslb.com/bfs/face/0d465014c9c38390eaaac01fe7fb7881c6c8dbb1.jpg
206503340352,1500400258,1,87861097,0,0,0,31,27,1707109539,557,,,全场球迷90分钟应援，还有好多七八十老人，七千名香港义务送票的小孩来看球，结果梅西pi都不放一个，全程双手插兜，结束后贝克汉姆让他跟球迷互动直接啥也不说回更衣室…这些年来和年幼的球迷得多寒心啊！,,,,False,6,保密,,akuessigi,https://i1.hdslb.com/bfs/face/de737cd746a96742c07ced6c213aa25cf0429d90.jpg
206504589888,1500400258,1,87861097,206503340352,206503340352,206504589888,0,0,1707109966,66,,,香港政府要求他就算炸伤不上场了，起码开场跟球迷打个招呼，终场说两句都被拒绝了，是手断了还是声道撕裂受伤了[辣眼睛][辣眼睛],[辣眼睛],,,False,6,保密,,akuessigi,https://i1.hdslb.com/bfs/face/de737cd746a96742c07ced6c213aa25cf0429d90.jpg
206505069680,1500400258,1,32954720,206503340352,206504589888,206504589888,0,0,1707110156,40,,,回复 @akuessigi : 这是真有可能打心底里看不起中国人了，但凡稍微在乎点自己也会觉得愧疚主动要说两句的吧？上次在北京我记得就和队友对马宁指指点点不知道是嘲笑还是什么，可没见他在正式比赛里对主裁这样,,akuessigi,87861097,False,5,男,walking dead,黎叫兽,https://i2.hdslb.com/bfs/face/effec56315dbbc225ae959f16f2ff3bc1a3dee1b.jpg
206504290816,1500400258,1,321153857,206503340352,206503340352,206504290816,0,0,1707109884,37,,,风评变了，不管你是不是球王，起码的尊重要给吧[撇嘴]梅西这次真不好说了,[撇嘴],,,False,5,保密,,ae的爹,https://i2.hdslb.com/bfs/face/3b27ca298f0db32c676d3a3743d47ca2f2b803e6.jpg
206525774384,1500400258,1,93600031,0,0,0,32,25,1707118823,371,,,科比：“如果我休战，那些攒钱来只为看我打一次球的球迷怎么办？”,,,,False,6,保密,"To be, or not to be: that is the question……",答answer案,http://i1.hdslb.com/bfs/face/3637b2f6a2c2f24b3369d8f79bb40e3f325d2b9b.jpg
206530808656,1500400258,1,1582831627,206525774384,206525774384,206530808656,0,0,1707120922,53,,,what can i say ？,,,,False,3,保密,,辛宪英-,https://i1.hdslb.com/bfs/face/acafad5d5b3fdf4e81f6acd9e3612838c8918394.jpg
206526515568,1500400258,1,436519045,206525774384,206525774384,206526515568,0,0,1707119152,17,,,很喜欢曼联青训球员：科比梅努,,,,False,5,男,如果冒犯你了 不好意思 你TM谁,肯德基亻老爷爷-,https://i1.hdslb.com/bfs/face/f4d103dfab331a1fd23ac0fd7ac2c3059e56e349.jpg
206547889408,1500400258,1,2081399380,206525774384,206525774384,206547889408,0,0,1707127567,10,,,这就是曼巴精神,,,,False,3,保密,,Victoriayed,https://i1.hdslb.com/bfs/face/3a232d80a117785e6c66381c3209f0c76e03cae1.jpg
206630174480,1500400258,1,35004085,0,0,0,13,11,1707162650,646,,,梅西这波干的还真没话说[点赞][点赞]专业的都不知道怎么洗,[点赞],,,False,6,女,"良言一句三冬暖
恶语伤人六月寒",不要芋圆只要芋泥,https://i1.hdslb.com/bfs/face/1ef82beb179d4a7306d0b3a7c736c2aa52c65496.jpg
206662400624,1500400258,1,351086015,206630174480,206630174480,206662400624,0,0,1707190018,47,,,去了现场的李博真已经麻了，而蹲哥李博光还在发力🤣,,,,False,5,男,扣1送隆江猪脚饭,江城子SSR,https://i2.hdslb.com/bfs/face/7a55c0f249703006c57166f5cb19be509ab9810e.jpg
206648063744,1500400258,1,690015328,206630174480,206630174480,206648063744,0,0,1707183847,28,,,蹲哥光影还在发力,,,,False,4,保密,,bili_23028916215,https://i1.hdslb.com/bfs/face/79478e134f3fae09ea088a8fde4901f64ec71b27.jpg
206657621360,1500400258,1,19306997,206630174480,206630174480,206657621360,0,0,1707188077,8,,,儒仆阿川洗了么业务已经开洗了,,,,False,5,保密,,lfxbaobao,https://i2.hdslb.com/bfs/face/661f0778d3aaaea329a23c14c49cab79c96d65b7.jpg
206510141760,1500400258,1,381958506,0,0,0,39,33,1707112247,408,,,纯中立啊，不管是参加日本的综艺，还是巴萨的赞助商以及和神户胜利船的关系，在我的记忆里好像梅西确实挺喜欢日本的,,,,False,5,保密,我是个病人，我生病了,古月门课,https://i0.hdslb.com/bfs/face/f4d53baa32d8b4f71cdebd124ec05cbd93d9e819.jpg
206510365808,1500400258,1,33734374,206510141760,206510141760,206510365808,0,0,1707112329,77,,,里奥哟西🤣,,,,False,6,男,,不鬼畜啊啊啊,http://i1.hdslb.com/bfs/face/db28f6061234d176df0764d837a4b588f4703395.jpg
206512177488,1500400258,1,608656177,206510141760,206510141760,206512177488,0,0,1707113049,54,,,其实一直都是这样，不过世界杯年元年粉很多，他们没感受过，这次属于老粉在重温回忆，加深印象，新粉才会震惊[嗑瓜子],[嗑瓜子],,,False,3,保密,,清风明月醉吾心,http://i1.hdslb.com/bfs/face/eb58f347d560732b545cbee17557429fb9a43f9f.jpg
206512595440,1500400258,1,319437636,206510141760,206510141760,206512595440,0,0,1707113250,25,,,孩子们，我很喜欢故乡的樱花。,,,,False,6,男,偷窥我是吧，八嘎牙路！,日本大佐-里奥哟西,https://i0.hdslb.com/bfs/face/154d5ea1fa0e738ee9499060cf10593b9deeef85.jpg
206513842032,1500400258,1,273289486,0,0,0,24,19,1707113737,342,,,一大群蓝白球服+轻吻奖杯头像即将来袭[呲牙][呲牙],[呲牙],,,False,5,保密,,有魔力的鸟,https://i1.hdslb.com/bfs/face/a3b9e129aee0fa7e6b08c31af7caaac0ce5f1a27.jpg
206548396784,1500400258,1,284682405,206513842032,206513842032,206548396784,0,0,1707127769,35,,,汏为杯，假的不能再假的比赛，用一个假的冠军沐猴而冠罢了,,,,False,5,男,,FieldOfView,https://i0.hdslb.com/bfs/face/2d9bda173046b46ad14aed9ee54a1dc6947b64a1.jpg
206523667536,1500400258,1,51547063,206513842032,206522456736,206522456736,0,0,1707117987,22,,,回复 @多贝多得芬 :他们还没走出来2022罢了🤣,,多贝多得芬,3461572687039066,False,5,保密,,花银树铁,https://i1.hdslb.com/bfs/face/9be324ff9c7b67d4f65bc91ad66b5bc6a34add51.jpg
206581314480,1500400258,1,223373066,206513842032,206513842032,206581314480,0,0,1707139460,21,,,人造点球王,,,,False,5,男,,Magic-1107,https://i2.hdslb.com/bfs/face/b2bae6d36d42d1ef00fdf50ee3a818c47d0b4ca7.jpg
206506353248,1500400258,1,390973259,0,0,0,20,15,1707110673,537,,,能翻墙的去ins上看看风评就行了[脸红]，罗哥深圳行取消但带来的负面影响真的很小，处理算是很到位了，暑假再来还有人愿意去的，呦西从偷世足他评论区就已经被冲，刚去还看到一个香港的老哥在发声[脸红],[脸红],,,False,5,男,,龙麟0312,https://i2.hdslb.com/bfs/face/7b44a7b9e6a68611fefc4eec40c3c8b01eb207ef.jpg
206507603664,1500400258,1,17887038,206506353248,206506353248,206507603664,0,0,1707111131,77,,,看到有个老哥挺惨的，是在香港生活的阿根廷人，花了好多钱去看西西结果不上,,,,False,6,男,命运总是挑挑拣拣 诸事不成全,呆梨鸭啊,https://i0.hdslb.com/bfs/face/f7de4da12d576c0eb9f8469f1c43b43c89ac79be.jpg
206507529536,1500400258,1,289531542,206506353248,206506353248,206507529536,0,0,1707111113,64,,,fc24年度蓝梅西下面评论都说不配的[脱单doge],[脱单doge],,,False,5,保密,,民国四大人妖,https://i0.hdslb.com/bfs/face/2971d02cb2362564e022bb46d5f30083cee1c456.jpg
206508177648,1500400258,1,369879944,206506353248,206506353248,206508177648,0,0,1707111392,50,,,偷奖到现在都是骂的嘲讽的，洗白的夸得都是南美人，还有一些东南亚猴子和一些我们国内的精神阿根廷人，c罗那边夸得多，但最新评论里大部分都是阿拉伯人,,,,False,5,保密,点进来看的手机电脑上自动下载原神,热心网友丁真,https://i2.hdslb.com/bfs/face/16b0448b29111c4928219d40d0906959ece7f283.jpg
206509658384,1500400258,1,101497147,0,0,0,22,13,1707112036,230,,,GOAT克里斯蒂亚诺罗纳尔多生日快乐,,,,False,5,保密,你说,千山绝壑,https://i1.hdslb.com/bfs/face/a5bb6743fa96ab63b99e36adf006d750f4ea0833.jpg
206512054384,1500400258,1,1242250408,206509658384,206511736944,206511736944,0,0,1707113058,18,,,回复 @葡萄王C罗 :滚去日本去,,葡萄王C罗,2077606322,False,4,保密,,青城山下刘半仙天师,https://i1.hdslb.com/bfs/face/34df1e8eca584f7d3596a8bde1a2b26ac2e7c706.jpg
206512203824,1500400258,1,292580334,206509658384,206511736944,206511736944,0,0,1707113083,12,,,回复 @葡萄王C罗 :每条都有你，很狼狈啊显得你,,葡萄王C罗,2077606322,False,5,男,,感觉不v好,http://i0.hdslb.com/bfs/face/7bc472c0900a09e39019f15c1f7955affc7c510c.jpg
206511792784,1500400258,1,101497147,206509658384,206511407728,206511407728,0,0,1707112928,10,,,回复 @你家太太爷 :从不主动黑某一个人，只希望上周在互联网上叫的那么大声对总裁口诛笔伐的人认清自己,,你家太太爷,198520738,False,5,保密,你说,千山绝壑,https://i1.hdslb.com/bfs/face/a5bb6743fa96ab63b99e36adf006d750f4ea0833.jpg
206519805904,1500400258,1,399951476,0,0,0,17,12,1707116370,178,,,这个事情最离谱的就是c罗前几天已经给你做好表率了，你哪怕按着c罗的流程走一遍都没人会骂你。再说，如果是大伤为什么之前不说，如果是小伤为什么不装模作样踢几分钟。这就是大家尊敬的，为人谦虚的球王,,,,False,5,男,放假就会宅在家的五废带学生,Navi_Flamie,https://i2.hdslb.com/bfs/face/42205f3cb8a2811eb663c1ab39d411d54b114418.jpg
206520425152,1500400258,1,446970180,206519805904,206519805904,206520425152,0,0,1707116643,42,,,错误的，要是像c罗一个流程就挣不到钱说不定还要赔钱,,,,False,5,男,黎明杀机手游百星屠皇 MTGA构筑密稀前千,Keltess,https://i0.hdslb.com/bfs/face/0a638a97fcbbfac761603d28177812f0285db6d7.jpg
