rpid,oid,type,mid,root,parent,dialog,count,rcount,ctime,like,plat,device,content,emote,at_uname,at_mid,invisible,level,sex,sign,uname,avatar
208371211456,1450534108,1,53154335,0,0,0,2,2,1708086249,20,,,作为一个泱泱大国不能两级横跳，要有自己的立场和话语权，这样吧你俩都回家，由中国接管马岛，不就没有争议了,,,,False,6,保密,,龙骑士gs73,https://i2.hdslb.com/bfs/face/77e108b3a140f191224274ac8c118d0afedd140c.jpg
208371555984,1450534108,1,1070211205,208371211456,208371211456,208371555984,0,0,1708086400,2,,,天才，怎么不让你独自管理,,,,False,5,保密,此情可待成追忆 只是当时已惘然,空想のUtopian,https://i1.hdslb.com/bfs/face/4eae6924ad03d8475dbe188bdab44f48d4a14937.jpg
208371856592,1450534108,1,521931943,208371211456,208371211456,208371856592,0,0,1708086506,1,,,我没有意见[妙啊],[妙啊],,,False,5,男,,星河涌澈,https://i1.hdslb.com/bfs/face/e5db1a4a9932b24043367217999ee8d3d0d0d1c1.jpg
208313945856,1450534108,1,1124596417,0,0,0,14,12,1708062117,791,,,三哥虽然爱吹，但是用we，就不算吹了[笑哭],[笑哭],,,False,5,男,黄金白壁买歌笑，一醉累月轻王侯,苏哥Suger,https://i1.hdslb.com/bfs/face/90efcfc496c0f84f0c04d0d51ae80189d119fe71.jpg
208316026832,1450534108,1,3546572568660614,208313945856,208313945856,208316026832,0,0,1708063002,28,,,阿斗：我带着赵云在长坂坡嘎嘎乱杀，我负责嘎嘎，赵云负责乱杀[doge],[doge],,,False,4,保密,非正常人类研究中心,我是吕思涵,https://i2.hdslb.com/bfs/face/f01cfdaf4274a0cf78063564414bdc1c84e2865f.jpg
208328774256,1450534108,1,175668525,208313945856,208313945856,208328774256,0,0,1708069050,16,,,我和科比共砍81分,,,,False,6,保密,,杀人医生陈大锤,https://i0.hdslb.com/bfs/face/e524a522f3b8ce2e89dd7d8ead4787d810bce9f0.jpg
208344929936,1450534108,1,388105677,208313945856,208313945856,208344929936,0,0,1708076260,6,,,印度再菜，弄个阿根廷还是手拿把掐的,,,,False,6,男,,北境十三狼,https://i0.hdslb.com/bfs/face/0d88452d4c97bafbb287e445878bb6576e8f9ef6.jpg
208327077408,1450534108,1,99366421,0,0,0,3,3,1708068242,79,,,阿根廷竟然拿牛肉威胁我们笑死了，周边的巴西智利乌拉圭全是牛肉大国，包括毛子也是,,,,False,5,男,坚持不懈，美梦成真！,丑次粉恋丑,https://i1.hdslb.com/bfs/face/af239f7145ebe7fa0cdfe52b0742bd0916e86b08.jpg
208344469312,1450534108,1,30931584,208327077408,208327077408,208344469312,0,0,1708076079,1,,,米莱启动,,,,False,6,保密,”没有比爱更扭曲的诅咒了“,金牌牛头人大师,https://i0.hdslb.com/bfs/face/3f43677d1a5c4118ef861a336a023606953a9ea0.jpg
208330633472,1450534108,1,449976565,208327077408,208327077408,208330633472,0,0,1708069975,1,,,毛子已经是我们第一大牛肉进口国了。,,,,False,5,保密,懒～,千万别玩崩坏3,https://i1.hdslb.com/bfs/face/7ecad55fe2448114a60bf271ce25dca33eefa3e6.jpg
208347344224,1450534108,1,660876647,208327077408,208327077408,208347344224,0,0,1708077233,0,,,他们值得一个米莱,,,,False,5,保密,,琮琮呀,https://i2.hdslb.com/bfs/face/64f8edc24e023d8ae125cfd582f5f8fd8993169a.jpg
