rpid,oid,type,mid,root,parent,dialog,count,rcount,ctime,like,plat,device,content,emote,at_uname,at_mid,invisible,level,sex,sign,uname,avatar
206039766608,1900227395,1,1124706727,0,0,0,50,39,1706865416,334,,,这么用心的文章很难得！帮忙顶一下吧[笑哭],[笑哭],,,False,4,保密,,公巴佩yyd,https://i0.hdslb.com/bfs/face/member/noface.jpg
206093150304,1900227395,1,32491142,206039766608,206039766608,206093150304,0,0,1706885114,39,,,鞭尸其实是不太道德的，虽然梅西的粉丝往往也不要什么脸。,,,,False,5,男,人生只是一场旅行，终极意义只为追求幸福。,拿撒勒的码农,https://i2.hdslb.com/bfs/face/e237c5f93b9c23f4cc5d1cfa3777958304638c06.jpg
206095847520,1900227395,1,392536717,206039766608,206093150304,206093150304,0,0,1706886062,39,,,回复 @拿撒勒的码农 :说实话，回旋镖是梅密最爱用的一招，但是当回旋标打在自己身上时就默不作声了[支持],[支持],拿撒勒的码农,32491142,False,4,保密,,远点好吗,https://i1.hdslb.com/bfs/face/ea67354e1e94f47339d45e4901c6d80ab3908a44.jpg
206094670544,1900227395,1,413421586,206039766608,206093150304,206093150304,0,0,1706885659,23,,,回复 @拿撒勒的码农 :发文章在那cjb ，结果回旋镖还不让说啊[doge],[doge],拿撒勒的码农,32491142,False,4,男,杀不死,Harrrrrdy,http://i1.hdslb.com/bfs/face/3b6062b56002727fb16f3f9ea1afeb51dfcd6c2e.jpg
205999593360,1900227395,1,55924399,0,0,0,124,106,1706848640,1054,,,"迈阿密输了梅西没输
利雅得赢了C罗没赢[doge]",[doge],,,False,6,男,CR7 Forever—Dominic,城北徐公Dom,https://i1.hdslb.com/bfs/face/88b87514e1db01315b7c69553e5aa3cd61faa83c.jpg
206003142048,1900227395,1,259438786,205999593360,205999593360,206003142048,0,0,1706849896,175,,,比分互换，评论我不敢想,,,,False,6,保密,又来气急败坏看我主页拉黑我啦？～(￣▽￣～)~,谈笑有红儒i,https://i1.hdslb.com/bfs/face/3fa94f35fefccf671b7e7e07c888016dbb55a86f.jpg
206053352416,1900227395,1,109959860,205999593360,206003142048,206003142048,0,0,1706870535,111,,,回复 @谈笑有红儒i : 比分互换，那梅西直接预定2024年金球＋世界足球先生了,,谈笑有红儒i,259438786,False,5,保密,,吹泡泡睡觉觉,https://i2.hdslb.com/bfs/face/db3e29cf945e72756ec0db3ad06f3e316c41a96b.jpg
206002850592,1900227395,1,32597391,205999593360,205999593360,206002850592,0,0,1706849810,53,,,利雅得要是输了 等着被上嘴脸吧[辣眼睛],[辣眼睛],,,False,5,男,遥遥领先,潘LV邓xiao闲_,https://i0.hdslb.com/bfs/face/70dba80d7e4ab9916340f6112df7775045b803d0.jpg
206015224176,1900227395,1,25377296,0,0,0,19,19,1706854669,416,,,不是小区联赛吗，怎么6比0，那一脚远射给我看炸了，太帅了，沙特联赛今时不同往日了【赞】,,,,False,6,女,脾气差，不好惹，和我杠的都会被拉黑，单纯懒得再回复，毕竟我是热评体质呢,这里这里蕾蕾,https://i2.hdslb.com/bfs/face/d2c82546a55841192d896beb67e244697d517aea.jpg
206087346080,1900227395,1,450573842,206015224176,206015224176,206087346080,0,0,1706883108,57,,,其实不是沙特联赛强，是美职联真的弱，没有升降级，和很多NBA球队一样，夺不了冠就开始摆烂，反正来年还是这个联赛，你想想，谭龙都能成为最佳射手,,,,False,3,保密,,bili_40208856302,http://i0.hdslb.com/bfs/face/member/noface.jpg
