rpid,oid,type,mid,root,parent,dialog,count,rcount,ctime,like,plat,device,content,emote,at_uname,at_mid,invisible,level,sex,sign,uname,avatar
211087312624,1400388462,1,3493292673075896,0,0,0,0,0,1709635816,0,,,没关系，我就是来看邓紫棋的,,,,False,3,保密,你都玩原神看永雏塔菲了。,AvFun弹幕视频网,https://i2.hdslb.com/bfs/face/a06efab62de058798d8226b2067085bfe90740f9.jpg
210086585424,1400388462,1,449123912,0,0,0,0,0,1709017736,0,,,应该唱泡沫,,,,False,6,男,愿与愚昧的战争终有胜利的一天,三界四洲不可救,https://i2.hdslb.com/bfs/face/dd3b91ec424c808e1afe2e23f011b9c618d4a086.jpg
209770849712,1400388462,1,3811236,0,0,0,0,0,1708823267,0,,,唱奇异恩典，绝了，这首歌歌词就是我曾瞎了眼[doge],[doge],,,False,6,男,你大爷永远是你大爷,宇智波弑神,https://i0.hdslb.com/bfs/face/3df126aeba6e30b5b4a2b1ed7596fa1dfabc5a68.jpg
208708075776,1400388462,1,581224,0,0,0,0,0,1708263038,1,,,我太馋紫琪了[大哭],[大哭],,,False,6,男,春秋五爸，战椁七雄，专业团队，送走一切,战椁七雄,https://i1.hdslb.com/bfs/face/148b230f666ff94d1a523cdbf8c31d8de0235ef6.jpg
208475920256,1400388462,1,4336559,0,0,0,0,0,1708149120,1,,,小小的好可爱,,,,False,6,男,哈哈哈～B站万载！,骑马祈人,https://i2.hdslb.com/bfs/face/d2d6987c7502bfa544238862954496b9292d416b.jpg
208470894048,1400388462,1,473234705,0,0,0,1,1,1708147008,0,,,大家讨论梅西的时候，请不要忘记731事件。梅西一事一发酵，731事件在国外的热度大幅降低，在国内的热度也有所降低。梅西是一个国际巨星，不会没有任何目的就来惹怒中国球迷，让自己损失那么大的利益。所以很有可能是一些别有用心的人专门制造的热门以此压另一个热门。互联网不能没有记忆，所以请大家持续关注731事件！,,,,False,5,男,一为专注于灵魂的UP主,拐走阿洋,https://i2.hdslb.com/bfs/face/2efea65e7c776bd33cda0a71c9e20ca8c10b4ae9.jpg
210994117648,1400388462,1,477969342,208470894048,208470894048,210994117648,0,0,1709565735,0,,,这两件事，说起来还能串联的。就是因为梅西亲日，才反感憎恨,,,,False,5,保密,,转角必然遇到爱,https://i0.hdslb.com/bfs/face/member/noface.jpg
208287177168,1400388462,1,21334141,0,0,0,0,0,1708050710,1,,,"邓紫棋 这是真有职业素养啊，对观众负责，对事业忠诚，对音乐热爱。守好自己的本分，做好该做的事。这一对比，某些个还真没法比。
另，她这装扮好年轻啊，青春感十足，跟我印象中的风格不同",,,,False,5,男,万物皆可北,mnh1933,http://i1.hdslb.com/bfs/face/bae0a714ac4cad7f35e676bb2ca69051d77ad2d7.jpg
208231523392,1400388462,1,473683366,0,0,0,1,1,1708007097,0,,,估计梅西在想为什么C罗不代表葡萄牙向中国球迷道歉，毕竟葡萄牙可是侵略中国446年呀，C罗球迷可都是说自己的爱国，怎么不去问C罗对葡萄牙侵略中国有什么看法呀,,,,False,4,保密,高端视频制作，网站设计，小程序开发，线上线下活动策划执行，分享更多体育给我们带来的快乐,城市微邦,https://i1.hdslb.com/bfs/face/d55d984737a859aab3c1189c6f133b427b895d9b.jpg
208235962416,1400388462,1,335366484,208231523392,208231523392,208235962416,0,0,1708008687,0,,,C罗：6,,,,False,6,男,,lhkss,https://i0.hdslb.com/bfs/face/bd7383b0ee61a6cef4694d6b38398218c0da55d4.jpg
