rpid,oid,type,mid,root,parent,dialog,count,rcount,ctime,like,plat,device,content,emote,at_uname,at_mid,invisible,level,sex,sign,uname,avatar
211201947600,1200700492,1,436341649,0,0,0,39,21,1709712176,15,,,感觉吆西也没有看不起中国什么什么的，全是国内自己臆想了。估计人家虽然说来了可能赚钱，但也不会太缺在中国赚的钱。感觉喊吆西，都是自己认为梅西看不起中国，反而去日本上场。不管他看起看不起，感觉咱们自己人都先看不起自己了。国内呼声这么大，别人也不是很在意。舆论就像巨婴一样。,,,,False,5,保密,,最爱绪花笑,https://i1.hdslb.com/bfs/face/da0ce2345ff2726c4be7f32fffa4e77c968a4d85.jpg
211212914032,1200700492,1,270053817,211201947600,211201947600,211212914032,0,0,1709718132,14,,,他不在🇯🇵上场在其他地方上场我照样觉得他没点契约精神。既要赚钱，又连象征性的场都没上辞都没致。空手套白狼呢？比资本家还懂赚钱。真的6,,,,False,5,保密,Rs for disability with mental illness,RsForDisability,https://i0.hdslb.com/bfs/face/003da7c99bd2007a3b515069285d57f2bd9f3891.jpg
211263908896,1200700492,1,392372420,211201947600,211259533056,211212914032,0,0,1709739992,8,,,回复 @最爱绪花笑 :其实中国舆论也不在意你你也改变不了，那你在这对中国舆论指指点点也像个巨婴捏[抠鼻],[抠鼻],最爱绪花笑,436341649,False,5,女,署名は嘘です,rebeka呐,https://i2.hdslb.com/bfs/face/ac0fa32b6a906a1f3458ff6e7f7a307e280e3d92.jpg
211260504704,1200700492,1,234410222,211201947600,211258806176,211249569072,0,0,1709738549,8,,,回复 @最爱绪花笑 :那你叫唤个鸡毛，关你屁事？,,最爱绪花笑,436341649,False,5,保密,,美国农场主10086号,https://i2.hdslb.com/bfs/face/075a15fcc4dfd461a7d0d8571f5f27adda29285a.jpg
211107367040,1200700492,1,438475596,0,0,0,15,15,1709644453,181,,,最开始那个用英文喷的人应该是国人吧，毕竟老外估计不知道这个梗，而且翻译也不能传递出梗的意思,,,,False,5,保密,,Il豆,https://i0.hdslb.com/bfs/face/650d018625b85ef4d0af885b023768470a19d3b5.jpg
211152097424,1200700492,1,452974615,211107367040,211107367040,211152097424,0,0,1709681715,21,,,不用应该，就是。你觉得外国人在没有一个纯中国人的帮助下能知道呦西是啥意思？翻译工具都翻译不出来,,,,False,5,男,,Yakutovo,https://i1.hdslb.com/bfs/face/c16e07d26164520b3a9c2e3c3025e7e29e0fd0ac.jpg
211146082528,1200700492,1,1134207648,211107367040,211107367040,211146082528,0,0,1709666760,16,,,反正是梅西粉丝，也肯定不拿自己当中国人,,,,False,5,男,统统记录下来，老年痴呆前的一切经历,东姆斯,https://i0.hdslb.com/bfs/face/d182deb98044408002c4682c522803ce692fb22e.jpg
211154933904,1200700492,1,413822407,211107367040,211107367040,211154933904,0,0,1709684698,11,,,中国人如果不关注足球的也不一定知道哟西这个梗。这➗为了护主，拿病毒当作攻击国人的利器也是纯纯➗了,,,,False,5,保密,,棚里恰恰aca,https://i1.hdslb.com/bfs/face/57b238041704dafcead27bbfc87b4c5876939809.jpg
207597403248,1200700492,1,414139486,0,0,0,38,22,1707658830,286,,,很喜欢梅协军的那句话，祸不及家人，骂人家阿伟罗离世的孩子的时候，想过这句话么。,,,,False,5,男,,飞云二九九,https://i1.hdslb.com/bfs/face/e40d0f36f2f8f305448cbd9449274dd61647558c.jpg
207599939696,1200700492,1,3494364743469136,207597403248,207597403248,207599939696,0,0,1707659750,56,,,有没有搞错，偷一死一是罗粉发明的[抠鼻][抠鼻],[抠鼻],,,False,3,男,成为浪潮吧,吕-七-忧-人,https://i1.hdslb.com/bfs/face/66f312d32a2f40a3b1f3398244e4d6fcc82b13d0.jpg
207608402928,1200700492,1,442125435,207597403248,207597403248,207608402928,0,0,1707662951,47,,,这可是皇马吧的传世经典偷一死一啊，作者不要搞错了。,,,,False,5,男,骨骼挂满我身体,爬山涉水死亡不远,https://i0.hdslb.com/bfs/face/8c21de35a58c99ab08bb663a88adcbdfe5cd7058.jpg
207607743360,1200700492,1,15230110,207597403248,207597403248,207607743360,0,0,1707662749,34,,,岁月史书又来了？皇马新闻官发的偷一个4一个不知道？,,,,False,6,女,,PePEgA1,https://i1.hdslb.com/bfs/face/b1002db5b1aa0dca08002f240b68b1b569ea0600.jpg
211170953248,1200700492,1,43883284,0,0,0,2,2,1709695452,23,,,让一个外国人爱国,,,,False,5,女,双300,kinaco_,https://i1.hdslb.com/bfs/face/513395a640031b3ce78e6e8c4abf8fa5b03a204b.png
211337965584,1200700492,1,436343897,211170953248,211170953248,211337965584,0,0,1709799961,0,,,我们只是表达对呦西蔑视我们的不满罢了,,,,False,5,男,,杂粮偷偷领先,https://i2.hdslb.com/bfs/face/884e217f1643e43118d13834066bb6983fe2b16b.jpg
211248566624,1200700492,1,437811261,211170953248,211170953248,211248566624,0,0,1709733693,0,,,爱国不至于,,,,False,5,保密,,火舰队,https://i0.hdslb.com/bfs/face/d5035ed49bdc3eac6193ea61074146f3699155ec.jpg
207641074144,1200700492,1,503342936,0,0,0,45,27,1707693772,1502,,,说到底都是惯坏了，一天天捧得太高，尤其是这些年科技飞速发展，网络媒体传播性，我女儿一个不看球也不喜欢球的，也问我梅西最近怎么回事,,,,False,5,保密,,唯我范大将军0101,https://i2.hdslb.com/bfs/face/26bb9e03b23918a6b79b1a56fd77ab5cdf02e964.jpg
211170010736,1200700492,1,227027953,207641074144,207641074144,211170010736,0,0,1709694799,37,,,不是惯坏了，是饭圈化了，几乎是所有的体育圈⭕,,,,False,6,保密,,牛油果的Spring,https://i1.hdslb.com/bfs/face/6639cac2bcd4d84d88ce0df593ca8779b79962e6.jpg
207654621008,1200700492,1,280052889,207641074144,207641074144,207654621008,0,0,1707704114,38,,,因为这事出圈了，我也不看球，注意到b站全是骂他的,,,,False,5,保密,早安！,安妮婆婆,https://i0.hdslb.com/bfs/face/6caf43e450b709f1f332983e0abe410b118c6037.jpg
211176988224,1200700492,1,166537530,207641074144,211170010736,211170010736,0,0,1709698466,23,,,回复 @牛油果的Spring :到处都饭圈化[笑哭]我自己知道的就有动漫圈，电竞圈，体育圈，还有某些B站up主[笑哭],[笑哭],牛油果的Spring,227027953,False,6,男,这个国宴大厨又忙着下饭了，什么都没写,月光无意逐鹿,https://i0.hdslb.com/bfs/face/2c045fcfe52e639125b5b9df4a6c932762bada36.jpg
207595118816,1200700492,1,580588069,0,0,0,32,21,1707657947,100,,,说你covid那个绝对是国人,,,,False,5,保密,乱发，不用关注,桜の穹,https://i1.hdslb.com/bfs/face/2eae4029de198b947de6b8e734b9dd6463da7283.jpg
207602369488,1200700492,1,3493286312413758,207595118816,207601701520,207601701520,0,0,1707660693,69,,,回复 @Riot-Ephelius :现在外面反兔的基本都是华侨[笑哭]，不会就事论事就开始骂艺情了[吃瓜],[吃瓜] [笑哭],Riot-Ephelius,1898745528,False,4,保密,疑惑地点开主页，疑惑地找不到那个游戏，疑惑地离开主页Σ( ° △ °|||)︴,襄高学子1,https://i0.hdslb.com/bfs/face/2d5b2d001e6bd2fb3f970c1acab15c15a7ac8372.jpg
207620665168,1200700492,1,510488465,207595118816,207595118816,207620665168,0,0,1707667927,30,,,因为外国人看不懂哟西，就这么简单。这是日语词汇音译到汉语中的,,,,False,3,保密,伟大的事业必将伴随着必要的牺牲。,高棉战士,https://i2.hdslb.com/bfs/face/f96182791333f3b97daab6eccad5f58dea75f760.jpg
207614229408,1200700492,1,11855766,207595118816,207595118816,207614229408,0,0,1707665250,23,,,吆西用翻译软件也看不出是骂人啊，二鬼子梅毒咬人罢了,,,,False,6,保密,❗账户已注销,己注销账户,https://i0.hdslb.com/bfs/face/d6df73e1e9aca3e7924d4a3e8d2cdbb5e67f9473.jpg
207657979088,1200700492,1,1131792705,0,0,0,2,1,1707705784,7,,,确实极其炸裂[妙啊],[妙啊],,,False,4,男,主打一个抽象,ACEの吴彦祖,https://i0.hdslb.com/bfs/face/63b2aa96d1cb3624e833af5e464f4171f6a25243.jpg
