rpid,oid,type,mid,root,parent,dialog,count,rcount,ctime,like,plat,device,content,emote,at_uname,at_mid,invisible,level,sex,sign,uname,avatar
211221456720,1151395012,1,2568413,0,0,0,20,17,1709721904,15,,,当年的的巴萨，哈维，小白，普约尔等等，别说梅西，就是没有他换成别的前锋一样出成绩，真要说的话小罗他就比不了，小罗真是带领全队，到了梅西这，反而全队都在捧梅西啊。。。当年马拉多纳去那不勒斯，直接那不勒斯提升一个档次，在当年号称小世界杯的意甲拿了冠军。。梅西行不。。所以，不是拿了世界杯就是球王，如果这样的话那球王可多了。。,,,,False,6,男,沉迷学习 无法自拔,草帽七月,http://i2.hdslb.com/bfs/face/10ef76e8e869126104973a2d768aca7ceb37eb51.jpg
211268345248,1151395012,1,1216997369,211221456720,211221456720,211268345248,0,0,1709742003,5,,,就你这漏洞百出的逻辑，照你这逻辑贝利也不是球王，没有一届世界杯是明显的队内第一功臣，俱乐部也只是六个联赛两个解放者，还有照你这么说梅西能在巴萨拿到西甲冠军马拉多纳能吗，马拉多纳在巴萨两年不说欧冠，怎么连西甲冠军都没拿到呢？马拉多纳才是靠世界杯成为球王的那个，梅西是把一切都做到优秀只缺个世界杯，不要把概念混淆了，以梅西的标准历史上就没有球王,,,,False,3,保密,,Cruyff_GF,https://i0.hdslb.com/bfs/face/member/noface.jpg
211279163248,1151395012,1,400490194,211221456720,211268605440,211268345248,0,0,1709752035,1,,,回复 @俄罗斯的抽象主义legend :三级小号用头发想都知道是个什么成分。[doge],[doge],俄罗斯的抽象主义legend,31562271,False,6,男,破镜不能重圆，枯木或可逢春。,壹征,https://i1.hdslb.com/bfs/face/9d351c323cde0fe8aa2084ac54da2f2bae03068a.jpg
211268778736,1151395012,1,31562271,211221456720,211221456720,211268778736,0,0,1709742218,1,,,没办法，梅结晶眼里只有梅西，他们相信宇宙万法的源头是儒儒[滑稽],[滑稽],,,False,6,保密,,俄罗斯的抽象主义legend,https://i0.hdslb.com/bfs/face/6a029b5ae3f9fa049b7b6460b822346a990f4f20.jpg
211279253936,1151395012,1,393491067,0,0,0,0,0,1709752284,3,,,我讲了，如果一个球队要用姆巴佩，那就必须把他作为第一进攻点，享有无限开火权，和唯一重心待遇，而问题是，球队将面临一个进退两难的困境，要么白瞎了现今足坛最锋利的尖刀，要么把出彩机会都给姆巴佩，球队只能有他一颗亮星，球队体系也维系在姆巴佩一人身上，容错率极低。简单来说，就是不用可惜了，用了就没有容错，姆巴佩一旦出问题，上其他再顶级的球员，球队发挥也会大打折扣，如果从俱乐部层面来说，姆巴佩会吸走其他球员的关注度，渐渐球队就只能养出他一个大火球星，就像国家队里的法国队一样，优秀球员很多，格列兹曼、吉鲁、费尔南德斯、科曼等等，但是谁还看他们？什么“一己之力”、“个人英雄”、“唯一大腿”、“单核带队”、“尽力但是带不动”……这些言论满天飞。如果他离开俱乐部或者有意外怎么样，收益和流量会大幅下跌，鸡蛋放一个笼子里了。,,,,False,5,保密,,一位无名侠客,https://i0.hdslb.com/bfs/face/edcffae3f0790d7cdd600054b772cab1b05a1f90.jpg
211251163296,1151395012,1,33361399,0,0,0,34,20,1709734771,64,,,c罗控制变量的时候唯结果论，梅西控制变量的时候还要看对手，阵容，发挥，只能说回旋镖吃的舒服,,,,False,5,保密,,两伊式,http://i0.hdslb.com/bfs/face/member/noface.jpg
211262286576,1151395012,1,21140811,211251163296,211261715936,211261715936,0,0,1709739260,23,,,回复 @仿生苏炫翔 :哟西，你滴非常滴孝顺，给你颁发梅兵证🤗,,仿生苏炫翔,277977469,False,6,男,,酋长1123,https://i0.hdslb.com/bfs/face/98de6d7991bf63f2c9da893c798e3ffaaf1bf2fd.jpg
211263107648,1151395012,1,18948098,211251163296,211261715936,211261715936,0,0,1709739640,8,,,回复 @仿生苏炫翔 :儒处被家访删评删挺快的嗷[抠鼻],[抠鼻],仿生苏炫翔,277977469,False,5,保密,独尊儒术罢黜百家,诸如球王再创辉煌,https://i2.hdslb.com/bfs/face/00f557de46fa3bee9f75ace0e9799a38bcbf1468.jpg
211262609840,1151395012,1,341178321,211251163296,211261715936,211261715936,0,0,1709739417,6,,,回复 @仿生苏炫翔 :呦西，呦西的🐶,,仿生苏炫翔,277977469,False,5,保密,,刘小宸想环游世界,https://i0.hdslb.com/bfs/face/cddb41196caac810cab25e58eb88448868c98124.jpg
211169980576,1151395012,1,279173565,0,0,0,12,10,1709694892,373,,,全法甲和全欧冠都在演球王,,,,False,6,保密,,崇洋犬缉拿科主任,https://i0.hdslb.com/bfs/face/b1f2040891dfd65f98f2c5b8a18f78a53e21001a.jpg
