common_substrings,count
美职联,9
世界杯,8
doge,8
星星眼,6
沙特联赛,4
密国际,3
表演赛,3
真实球迷汇,3
梅西球迷,3
区联赛,3
明日终端,3
含金量,3
亚洲杯,3
嗑瓜子,3
call,3
热身赛,3
勒斯坦,3
星空源CR,3
siu,2
塔利斯卡,2
极端粉丝,2
想方设法,2
十分钟,2
联赛踢,2
昨天晚,2
全队想,2
法甲中,2
保级队,2
美洲杯,2
辣眼睛,2
欧洲杯,2
两位数,2
李老八,2
利亚德,2
脱单doge,2
没问题,2
站中立,2
杨肖昕,2
梅西夺冠,2
举报烂,2
拉冠直接压死梅西,2
注定梅西成,2
罗世界杯淘汰赛零球零助,2
👍🏻👍🏻👍🏻👍🏻,2
带队成绩四强,2
梅西世界杯,2
罗实力强,2
精神胜利法,2
犹太资,2
